codigo_municipio,nome_municipio,uf,rede,ano,ideb,id_estado
1200013,Acrelândia,AC,Pública,2005,2.8,12
1200054,Assis Brasil,AC,Estadual,2005,2.5,12
1200054,Assis Brasil,AC,Municipal,2005,2.4,12
1200054,Assis Brasil,AC,Pública,2005,2.6,12
1200104,Brasiléia,AC,Estadual,2005,3.3,12
1200104,Brasiléia,AC,Municipal,2005,3.3,12
1200104,Brasiléia,AC,Pública,2005,3.2,12
1200609,Tarauacá,AC,Municipal,2005,2.3,12
1200138,Bujari,AC,Estadual,2005,,12
1200138,Bujari,AC,Municipal,2005,2.6,12
1200138,Bujari,AC,Pública,2005,2.6,12
1200179,Capixaba,AC,Estadual,2005,3.3,12
1200179,Capixaba,AC,Municipal,2005,2.7,12
1200179,Capixaba,AC,Pública,2005,2.8,12
1200203,Cruzeiro do Sul,AC,Estadual,2005,3.4,12
1200203,Cruzeiro do Sul,AC,Municipal,2005,3.5,12
1200203,Cruzeiro do Sul,AC,Pública,2005,3.5,12
1200252,Epitaciolândia,AC,Estadual,2005,3.7,12
1200252,Epitaciolândia,AC,Municipal,2005,3.2,12
1200252,Epitaciolândia,AC,Pública,2005,3.3,12
1200302,Feijó,AC,Estadual,2005,3.2,12
1200302,Feijó,AC,Municipal,2005,2.3,12
1200302,Feijó,AC,Pública,2005,2.7,12
1200328,Jordão,AC,Estadual,2005,1.8,12
1200328,Jordão,AC,Municipal,2005,1.9,12
1200328,Jordão,AC,Pública,2005,1.9,12
1200336,Mâncio Lima,AC,Estadual,2005,2.6,12
1200336,Mâncio Lima,AC,Municipal,2005,2.3,12
1200336,Mâncio Lima,AC,Pública,2005,2.5,12
1200344,Manoel Urbano,AC,Estadual,2005,2.3,12
1200344,Manoel Urbano,AC,Municipal,2005,1.7,12
1200344,Manoel Urbano,AC,Pública,2005,1.9,12
1200351,Marechal Thaumaturgo,AC,Municipal,2005,2.1,12
1200351,Marechal Thaumaturgo,AC,Pública,2005,2.2,12
1200385,Plácido de Castro,AC,Estadual,2005,3.0,12
1200385,Plácido de Castro,AC,Municipal,2005,2.6,12
1200385,Plácido de Castro,AC,Pública,2005,2.8,12
1200807,Porto Acre,AC,Pública,2005,3.1,12
1200807,Porto Acre,AC,Municipal,2005,,12
1200807,Porto Acre,AC,Estadual,2005,3.2,12
1200393,Porto Walter,AC,Municipal,2005,2.2,12
1200708,Xapuri,AC,Pública,2005,3.0,12
1200708,Xapuri,AC,Municipal,2005,2.8,12
1200708,Xapuri,AC,Estadual,2005,3.1,12
1200609,Tarauacá,AC,Pública,2005,2.8,12
1200013,Acrelândia,AC,Estadual,2005,3.0,12
1200609,Tarauacá,AC,Estadual,2005,3.3,12
1200013,Acrelândia,AC,Municipal,2005,2.8,12
1200500,Sena Madureira,AC,Pública,2005,2.7,12
1200500,Sena Madureira,AC,Municipal,2005,2.5,12
1200500,Sena Madureira,AC,Estadual,2005,2.8,12
1200450,Senador Guiomard,AC,Pública,2005,3.2,12
1200450,Senador Guiomard,AC,Municipal,2005,2.7,12
1200450,Senador Guiomard,AC,Estadual,2005,3.6,12
1200435,Santa Rosa do Purus,AC,Pública,2005,2.1,12
1200435,Santa Rosa do Purus,AC,Municipal,2005,2.0,12
1200427,Rodrigues Alves,AC,Pública,2005,2.5,12
1200427,Rodrigues Alves,AC,Municipal,2005,2.6,12
1200427,Rodrigues Alves,AC,Estadual,2005,2.4,12
1200393,Porto Walter,AC,Estadual,2005,,12
1200401,Rio Branco,AC,Pública,2005,3.9,12
1200401,Rio Branco,AC,Municipal,2005,4.1,12
1200401,Rio Branco,AC,Estadual,2005,3.8,12
1200401,Rio Branco,AC,Federal,2005,,12
1200393,Porto Walter,AC,Pública,2005,2.1,12
2707206,Poço das Trincheiras,AL,Pública,2005,2.1,27
2707206,Poço das Trincheiras,AL,Municipal,2005,1.9,27
2707206,Poço das Trincheiras,AL,Estadual,2005,2.4,27
2707107,Piranhas,AL,Pública,2005,2.7,27
2707107,Piranhas,AL,Municipal,2005,2.5,27
2707107,Piranhas,AL,Estadual,2005,2.7,27
2707008,Pindoba,AL,Pública,2005,2.0,27
2707008,Pindoba,AL,Municipal,2005,2.1,27
2706901,Pilar,AL,Pública,2005,2.5,27
2706901,Pilar,AL,Municipal,2005,2.5,27
2706802,Piaçabuçu,AL,Pública,2005,2.6,27
2706802,Piaçabuçu,AL,Municipal,2005,2.6,27
2706802,Piaçabuçu,AL,Estadual,2005,2.3,27
2706703,Penedo,AL,Pública,2005,3.1,27
2706703,Penedo,AL,Municipal,2005,3.0,27
2706703,Penedo,AL,Estadual,2005,3.2,27
2706604,Paulo Jacinto,AL,Pública,2005,2.2,27
2706604,Paulo Jacinto,AL,Municipal,2005,2.3,27
2706604,Paulo Jacinto,AL,Estadual,2005,1.9,27
2706505,Passo de Camaragibe,AL,Pública,2005,2.1,27
2706505,Passo de Camaragibe,AL,Municipal,2005,2.0,27
2706505,Passo de Camaragibe,AL,Estadual,2005,2.1,27
2706448,Paripueira,AL,Pública,2005,2.0,27
2706448,Paripueira,AL,Municipal,2005,1.8,27
2706448,Paripueira,AL,Estadual,2005,3.3,27
2706422,Pariconha,AL,Pública,2005,2.6,27
2706422,Pariconha,AL,Municipal,2005,2.5,27
2706422,Pariconha,AL,Estadual,2005,2.6,27
2706406,Pão de Açúcar,AL,Pública,2005,2.3,27
2706406,Pão de Açúcar,AL,Municipal,2005,2.3,27
2706307,Palmeira dos Índios,AL,Municipal,2005,2.9,27
2706307,Palmeira dos Índios,AL,Estadual,2005,2.8,27
2706208,Palestina,AL,Pública,2005,2.5,27
2706208,Palestina,AL,Municipal,2005,2.6,27
2706208,Palestina,AL,Estadual,2005,,27
2706109,Ouro Branco,AL,Pública,2005,2.2,27
2706109,Ouro Branco,AL,Municipal,2005,2.2,27
2706109,Ouro Branco,AL,Estadual,2005,,27
2706000,Olivença,AL,Pública,2005,2.3,27
2706000,Olivença,AL,Municipal,2005,2.3,27
2706000,Olivença,AL,Estadual,2005,2.8,27
2705903,Olho d'Água Grande,AL,Pública,2005,1.9,27
2705903,Olho d'Água Grande,AL,Municipal,2005,2.0,27
2705903,Olho d'Água Grande,AL,Estadual,2005,1.0,27
2705804,Olho d'Água do Casado,AL,Pública,2005,2.0,27
2705804,Olho d'Água do Casado,AL,Municipal,2005,2.1,27
2705804,Olho d'Água do Casado,AL,Estadual,2005,1.8,27
2705705,Olho d'Água das Flores,AL,Pública,2005,2.1,27
2705705,Olho d'Água das Flores,AL,Municipal,2005,2.1,27
2705705,Olho d'Água das Flores,AL,Estadual,2005,2.1,27
2705606,Novo Lino,AL,Pública,2005,1.9,27
2705606,Novo Lino,AL,Municipal,2005,1.9,27
2705606,Novo Lino,AL,Estadual,2005,,27
2705507,Murici,AL,Pública,2005,2.2,27
2705507,Murici,AL,Municipal,2005,2.3,27
2705507,Murici,AL,Estadual,2005,2.1,27
2705408,Monteirópolis,AL,Pública,2005,2.2,27
2705408,Monteirópolis,AL,Municipal,2005,2.3,27
2705408,Monteirópolis,AL,Estadual,2005,,27
2705309,Minador do Negrão,AL,Pública,2005,,27
2705309,Minador do Negrão,AL,Municipal,2005,,27
2705309,Minador do Negrão,AL,Estadual,2005,,27
2705200,Messias,AL,Pública,2005,3.2,27
