id_estado,ano,variavel,valor,unidade
11,2023,Produto Interno Bruto a preços correntes,76456179.0,Mil Reais
11,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
12,2023,Produto Interno Bruto a preços correntes,26291321.0,Mil Reais
12,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
13,2023,Produto Interno Bruto a preços correntes,161794976.0,Mil Reais
13,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
14,2023,Produto Interno Bruto a preços correntes,25124805.0,Mil Reais
14,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
15,2023,Produto Interno Bruto a preços correntes,254546511.0,Mil Reais
15,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
16,2023,Produto Interno Bruto a preços correntes,28020120.0,Mil Reais
16,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
17,2023,Produto Interno Bruto a preços correntes,64317699.0,Mil Reais
17,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
21,2023,Produto Interno Bruto a preços correntes,149227195.0,Mil Reais
21,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
22,2023,Produto Interno Bruto a preços correntes,80916856.0,Mil Reais
22,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
23,2023,Produto Interno Bruto a preços correntes,232239257.0,Mil Reais
23,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
24,2023,Produto Interno Bruto a preços correntes,101740275.0,Mil Reais
24,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
25,2023,Produto Interno Bruto a preços correntes,96963174.0,Mil Reais
25,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
26,2023,Produto Interno Bruto a preços correntes,270474919.0,Mil Reais
26,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
27,2023,Produto Interno Bruto a preços correntes,89688932.0,Mil Reais
27,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
28,2023,Produto Interno Bruto a preços correntes,60816662.0,Mil Reais
28,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
29,2023,Produto Interno Bruto a preços correntes,430987853.0,Mil Reais
29,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
31,2023,Produto Interno Bruto a preços correntes,971977551.0,Mil Reais
31,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
32,2023,Produto Interno Bruto a preços correntes,209829732.0,Mil Reais
32,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
33,2023,Produto Interno Bruto a preços correntes,1172871443.0,Mil Reais
33,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
35,2023,Produto Interno Bruto a preços correntes,3444814033.0,Mil Reais
35,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
41,2023,Produto Interno Bruto a preços correntes,670919162.0,Mil Reais
41,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
42,2023,Produto Interno Bruto a preços correntes,513392973.0,Mil Reais
42,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
43,2023,Produto Interno Bruto a preços correntes,650107022.0,Mil Reais
43,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
50,2023,Produto Interno Bruto a preços correntes,184402118.0,Mil Reais
50,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
51,2023,Produto Interno Bruto a preços correntes,273008586.0,Mil Reais
51,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
52,2023,Produto Interno Bruto a preços correntes,336746975.0,Mil Reais
52,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
53,2023,Produto Interno Bruto a preços correntes,365669108.0,Mil Reais
53,2023,"Impostos, líquidos de subsídios, sobre produtos a preços correntes",,
