nome_regiao,sigla_regiao,ano,municipios_avaliados,municipios_com_ideb,ideb_medio,ideb_min,ideb_max
Centro-Oeste,CO,2005,468,441,3.66,1.1,5.1
Nordeste,NE,2005,1794,1653,2.73,1.2,5.0
Norte,N,2005,450,436,2.98,1.5,4.8
Sudeste,SE,2005,1668,1534,4.35,2.3,7.3
Sul,S,2005,1188,958,4.18,1.2,6.0
Centro-Oeste,CO,2007,468,463,4.12,2.5,6.0
Nordeste,NE,2007,1794,1783,3.17,0.9,6.0
Norte,N,2007,450,449,3.33,1.8,5.0
Sudeste,SE,2007,1668,1662,4.62,2.2,7.7
Sul,S,2007,1188,1126,4.68,3.1,7.3
Centro-Oeste,CO,2009,468,456,4.62,3.2,6.4
Nordeste,NE,2009,1794,1758,3.54,2.0,6.6
Norte,N,2009,450,448,3.78,1.4,5.5
Sudeste,SE,2009,1668,1648,5.38,3.2,8.6
Sul,S,2009,1188,1094,5.06,2.8,7.3
Centro-Oeste,CO,2011,468,454,4.97,3.2,6.9
Nordeste,NE,2011,1794,1735,3.9,2.5,7.5
Norte,N,2011,450,438,4.15,2.6,5.7
Sudeste,SE,2011,1668,1641,5.62,3.6,8.3
Sul,S,2011,1188,959,5.4,3.7,8.2
Centro-Oeste,CO,2013,468,456,5.36,3.5,8.1
Nordeste,NE,2013,1794,1732,4.02,2.3,7.8
Norte,N,2013,450,443,4.26,2.5,6.6
Sudeste,SE,2013,1668,1632,5.81,3.6,8.3
Sul,S,2013,1188,1041,5.69,3.5,8.0
Centro-Oeste,CO,2015,468,446,5.53,2.9,7.4
Nordeste,NE,2015,1794,1743,4.52,2.3,8.8
Norte,N,2015,450,444,4.49,2.9,6.6
Sudeste,SE,2015,1668,1607,6.09,4.1,8.0
Sul,S,2015,1188,1040,5.94,3.8,8.1
Centro-Oeste,CO,2017,468,458,5.82,4.2,7.6
Nordeste,NE,2017,1794,1778,4.75,2.8,9.1
Norte,N,2017,450,448,4.72,2.7,7.2
Sudeste,SE,2017,1668,1654,6.32,3.7,8.2
Sul,S,2017,1188,1139,6.13,3.2,8.7
Centro-Oeste,CO,2019,468,458,5.85,4.2,7.5
Nordeste,NE,2019,1794,1758,5.02,2.9,9.4
Norte,N,2019,450,434,4.78,2.9,6.9
Sudeste,SE,2019,1668,1646,6.33,4.2,8.3
Sul,S,2019,1188,1123,6.28,4.2,8.8
Centro-Oeste,CO,2021,468,429,5.58,3.5,8.0
Nordeste,NE,2021,1794,1623,5.06,3.3,9.5
Norte,N,2021,450,384,4.71,3.1,6.3
Sudeste,SE,2021,1668,1546,5.94,4.2,8.3
Sul,S,2021,1188,1091,6.12,4.1,9.0
Centro-Oeste,CO,2023,468,461,5.93,3.9,8.0
Nordeste,NE,2023,1794,1771,5.32,3.3,10.0
Norte,N,2023,450,442,4.84,2.9,6.6
Sudeste,SE,2023,1668,1646,6.22,4.2,9.3
Sul,S,2023,1188,1110,6.39,4.3,8.9
Centro-Oeste,CO,2025,468,460,6.3,4.6,9.7
Nordeste,NE,2025,1794,1784,5.81,3.8,10.0
Norte,N,2025,450,447,5.43,3.3,7.4
Sudeste,SE,2025,1668,1653,6.52,3.6,9.1
Sul,S,2025,1188,1134,6.71,3.7,9.1
