uf,nome_uf,nome_regiao,ano,variavel,valor,unidade
AC,Acre,Norte,2023,Produto Interno Bruto a preços correntes,26291321.0,Mil Reais
AL,Alagoas,Nordeste,2023,Produto Interno Bruto a preços correntes,89688932.0,Mil Reais
AM,Amazonas,Norte,2023,Produto Interno Bruto a preços correntes,161794976.0,Mil Reais
AP,Amapá,Norte,2023,Produto Interno Bruto a preços correntes,28020120.0,Mil Reais
BA,Bahia,Nordeste,2023,Produto Interno Bruto a preços correntes,430987853.0,Mil Reais
CE,Ceará,Nordeste,2023,Produto Interno Bruto a preços correntes,232239257.0,Mil Reais
DF,Distrito Federal,Centro-Oeste,2023,Produto Interno Bruto a preços correntes,365669108.0,Mil Reais
ES,Espírito Santo,Sudeste,2023,Produto Interno Bruto a preços correntes,209829732.0,Mil Reais
GO,Goiás,Centro-Oeste,2023,Produto Interno Bruto a preços correntes,336746975.0,Mil Reais
MA,Maranhão,Nordeste,2023,Produto Interno Bruto a preços correntes,149227195.0,Mil Reais
MG,Minas Gerais,Sudeste,2023,Produto Interno Bruto a preços correntes,971977551.0,Mil Reais
MS,Mato Grosso do Sul,Centro-Oeste,2023,Produto Interno Bruto a preços correntes,184402118.0,Mil Reais
MT,Mato Grosso,Centro-Oeste,2023,Produto Interno Bruto a preços correntes,273008586.0,Mil Reais
PA,Pará,Norte,2023,Produto Interno Bruto a preços correntes,254546511.0,Mil Reais
PB,Paraíba,Nordeste,2023,Produto Interno Bruto a preços correntes,96963174.0,Mil Reais
PE,Pernambuco,Nordeste,2023,Produto Interno Bruto a preços correntes,270474919.0,Mil Reais
PI,Piauí,Nordeste,2023,Produto Interno Bruto a preços correntes,80916856.0,Mil Reais
PR,Paraná,Sul,2023,Produto Interno Bruto a preços correntes,670919162.0,Mil Reais
RJ,Rio de Janeiro,Sudeste,2023,Produto Interno Bruto a preços correntes,1172871443.0,Mil Reais
RN,Rio Grande do Norte,Nordeste,2023,Produto Interno Bruto a preços correntes,101740275.0,Mil Reais
RO,Rondônia,Norte,2023,Produto Interno Bruto a preços correntes,76456179.0,Mil Reais
RR,Roraima,Norte,2023,Produto Interno Bruto a preços correntes,25124805.0,Mil Reais
RS,Rio Grande do Sul,Sul,2023,Produto Interno Bruto a preços correntes,650107022.0,Mil Reais
SC,Santa Catarina,Sul,2023,Produto Interno Bruto a preços correntes,513392973.0,Mil Reais
SE,Sergipe,Nordeste,2023,Produto Interno Bruto a preços correntes,60816662.0,Mil Reais
SP,São Paulo,Sudeste,2023,Produto Interno Bruto a preços correntes,3444814033.0,Mil Reais
TO,Tocantins,Norte,2023,Produto Interno Bruto a preços correntes,64317699.0,Mil Reais
